student_id,student_code,first_name,last_name,date_of_birth,school_code,school_name
10158,STU-0158,Charles,Hernandez,2006-03-18,SCH-011,Lakeside High
10159,STU-0159,William,Wilson,2005-07-10,SCH-005,Capital High
10160,STU-0160,Elizabeth,Brown,2007-08-22,SCH-011,Lakeside High
10161,STU-0161,Richard,Martinez,2007-05-14,SCH-006,Westport High
10162,STU-0162,Elizabeth,Smith,2008-06-08,SCH-016,Greendale High
10163,STU-0163,Thomas,Anderson,2012-08-19,SCH-007,Ridgemont High
10164,STU-0164,Jessica,Brown,2006-10-12,SCH-018,Sunnydale High
10165,STU-0165,Mary,Moore,2011-05-03,SCH-018,Sunnydale High
10166,STU-0166,James,Rodriguez,2011-12-20,SCH-004,NorthHaverbrook High
10167,STU-0167,Mary,Garcia,2009-06-22,SCH-016,Greendale High
10168,STU-0168,Sarah,Hernandez,2008-05-18,SCH-017,Fernwood High
10169,STU-0169,David,Martin,2009-03-15,SCH-011,Lakeside High
10170,STU-0170,William,Martin,2008-09-06,SCH-016,Greendale High
10171,STU-0171,James,Taylor,2012-05-23,SCH-015,Brookfield High
10172,STU-0172,Michael,Garcia,2006-06-05,SCH-016,Greendale High
10173,STU-0173,Robert,Lopez,2008-03-22,SCH-017,Fernwood High
10174,STU-0174,Joseph,Brown,2005-12-21,SCH-011,Lakeside High
10175,STU-0175,Robert,Moore,2011-09-16,SCH-008,Hillwood High
10176,STU-0176,James,Jones,2006-02-23,SCH-011,Lakeside High
10177,STU-0177,Joseph,Miller,2005-04-16,SCH-015,Brookfield High
10178,STU-0178,Elizabeth,Hernandez,2009-11-14,SCH-017,Fernwood High
10179,STU-0179,Jennifer,Martin,2008-07-04,SCH-011,Lakeside High
10180,STU-0180,Patricia,Rodriguez,2011-06-19,SCH-003,Ogdenville High
10181,STU-0181,Sarah,Anderson,2009-11-05,SCH-013,Millbrook High
10182,STU-0182,Susan,Lopez,2007-03-27,SCH-020,Elmwood High
10183,STU-0183,Karen,Hernandez,2007-03-22,SCH-014,Oakdale High
10184,STU-0184,Charles,Davis,2006-12-13,SCH-015,Brookfield High
10185,STU-0185,Mary,Gonzalez,2005-09-05,SCH-001,Springfield High
10186,STU-0186,David,Jackson,2005-05-17,SCH-013,Millbrook High
10187,STU-0187,Jessica,Anderson,2012-02-15,SCH-010,Kingsport High
10188,STU-0188,Jessica,Lopez,2009-11-06,SCH-007,Ridgemont High
10189,STU-0189,Sarah,Taylor,2012-04-14,SCH-015,Brookfield High
10190,STU-0190,Patricia,Smith,2006-01-27,SCH-017,Fernwood High
10191,STU-0191,Sarah,Martin,2008-01-01,SCH-007,Ridgemont High
10192,STU-0192,Elizabeth,Thomas,2010-08-26,SCH-012,Riverdale High
10193,STU-0193,Mary,Martinez,2010-07-16,SCH-002,Shelbyville High
10194,STU-0194,David,Davis,2007-09-07,SCH-016,Greendale High
10195,STU-0195,James,Rodriguez,2011-11-18,SCH-012,Riverdale High
10196,STU-0196,Karen,Moore,2011-10-23,SCH-003,Ogdenville High
10197,STU-0197,Joseph,Lopez,2009-09-04,SCH-011,Lakeside High
10198,STU-0198,Joseph,Brown,2008-06-16,SCH-006,Westport High
10199,STU-0199,Patricia,Martin,2011-12-28,SCH-001,Springfield High
10200,STU-0200,William,Thomas,2010-10-05,SCH-008,Hillwood High
10201,STU-0201,Susan,Wilson,2005-05-20,SCH-020,Elmwood High
10202,STU-0202,Karen,Williams,2005-05-01,SCH-012,Riverdale High
10203,STU-0203,Charles,Martinez,2011-02-05,SCH-008,Hillwood High
10204,STU-0204,William,Jones,2011-07-24,SCH-012,Riverdale High
10205,STU-0205,Patricia,Smith,2010-04-11,SCH-008,Hillwood High
10206,STU-0206,Sarah,Taylor,2011-05-21,SCH-008,Hillwood High
10207,STU-0207,Barbara,Jones,2008-08-09,SCH-015,Brookfield High
10208,STU-0208,James,Brown,2007-04-23,SCH-013,Millbrook High
10209,STU-0209,Mary,Miller,2011-04-17,SCH-001,Springfield High
10210,STU-0210,Joseph,Taylor,2012-09-17,SCH-009,Fairview High
10211,STU-0211,Joseph,Moore,2008-01-20,SCH-015,Brookfield High
10212,STU-0212,Robert,Jones,2005-07-05,SCH-017,Fernwood High
10213,STU-0213,Elizabeth,Johnson,2005-12-21,SCH-018,Sunnydale High
10214,STU-0214,Sarah,Hernandez,2009-02-23,SCH-019,Crestwood High
10215,STU-0215,Jennifer,Hernandez,2009-09-06,SCH-020,Elmwood High
10216,STU-0216,Sarah,Miller,2005-09-27,SCH-016,Greendale High
10217,STU-0217,Thomas,Davis,2007-03-23,SCH-008,Hillwood High
10218,STU-0218,Richard,Smith,2005-12-19,SCH-020,Elmwood High
10219,STU-0219,Mary,Moore,2012-04-20,SCH-002,Shelbyville High
10220,STU-0220,Joseph,Jackson,2007-11-21,SCH-001,Springfield High
10221,STU-0221,Susan,Lopez,2011-05-11,SCH-012,Riverdale High
10222,STU-0222,Jessica,Garcia,2009-04-11,SCH-006,Westport High
10223,STU-0223,David,Gonzalez,2010-12-15,SCH-009,Fairview High
10224,STU-0224,Barbara,Johnson,2009-11-13,SCH-013,Millbrook High
10225,STU-0225,Mary,Moore,2012-02-23,SCH-012,Riverdale High
10226,STU-0226,Charles,Gonzalez,2006-07-04,SCH-007,Ridgemont High
10227,STU-0227,Joseph,Taylor,2010-11-14,SCH-006,Westport High
10228,STU-0228,Michael,Wilson,2011-10-04,SCH-016,Greendale High
10229,STU-0229,John,Davis,2005-03-03,SCH-020,Elmwood High
10230,STU-0230,Michael,Smith,2009-02-18,SCH-009,Fairview High
10231,STU-0231,Karen,Gonzalez,2011-10-28,SCH-006,Westport High
10232,STU-0232,David,Davis,2009-02-02,SCH-015,Brookfield High
10233,STU-0233,Patricia,Martin,2012-10-16,SCH-013,Millbrook High
10234,STU-0234,Jennifer,Johnson,2007-09-26,SCH-015,Brookfield High
10235,STU-0235,Robert,Brown,2012-10-28,SCH-003,Ogdenville High
10236,STU-0236,Mary,Jackson,2007-03-27,SCH-010,Kingsport High
10237,STU-0237,David,Johnson,2010-08-22,SCH-014,Oakdale High
10238,STU-0238,Robert,Miller,2010-07-24,SCH-013,Millbrook High
10239,STU-0239,James,Martinez,2011-03-14,SCH-007,Ridgemont High
10240,STU-0240,John,Wilson,2008-01-02,SCH-018,Sunnydale High
10241,STU-0241,Elizabeth,Wilson,2006-09-02,SCH-006,Westport High
10242,STU-0242,Robert,Brown,2011-09-23,SCH-010,Kingsport High
10243,STU-0243,Karen,Rodriguez,2012-09-07,SCH-001,Springfield High
10244,STU-0244,Richard,Jones,2009-12-24,SCH-016,Greendale High
10245,STU-0245,Richard,Davis,2011-02-07,SCH-019,Crestwood High
10246,STU-0246,Karen,Garcia,2007-11-13,SCH-007,Ridgemont High
10247,STU-0247,William,Hernandez,2006-05-05,SCH-019,Crestwood High
10248,STU-0248,Sarah,Jones,2012-12-16,SCH-010,Kingsport High
10249,STU-0249,Joseph,Lopez,2007-12-04,SCH-007,Ridgemont High
10250,STU-0250,Charles,Thomas,2007-04-23,SCH-007,Ridgemont High
10251,STU-0251,Joseph,Smith,2008-08-12,SCH-010,Kingsport High
10252,STU-0252,Sarah,Brown,2012-09-14,SCH-018,Sunnydale High
10253,STU-0253,Patricia,Jackson,2007-04-10,SCH-008,Hillwood High
10254,STU-0254,Sarah,Miller,2008-08-25,SCH-014,Oakdale High
10255,STU-0255,Charles,Thomas,2008-12-13,SCH-018,Sunnydale High
10256,STU-0256,Charles,Jackson,2006-08-12,SCH-002,Shelbyville High
10257,STU-0257,Susan,Martinez,2009-09-27,SCH-004,NorthHaverbrook High
10258,STU-0258,Jessica,Rodriguez,2007-02-21,SCH-009,Fairview High
10259,STU-0259,Michael,Brown,2011-04-25,SCH-009,Fairview High
10260,STU-0260,Jessica,Johnson,2007-08-25,SCH-001,Springfield High
10261,STU-0261,Karen,Moore,2012-02-24,SCH-012,Riverdale High
10262,STU-0262,Richard,Miller,2010-01-25,SCH-012,Riverdale High
10263,STU-0263,Robert,Davis,2012-10-27,SCH-010,Kingsport High
10264,STU-0264,John,Moore,2010-03-10,SCH-002,Shelbyville High
10265,STU-0265,Barbara,Jackson,2009-11-25,SCH-020,Elmwood High
10266,STU-0266,Jennifer,Moore,2011-01-17,SCH-012,Riverdale High
10267,STU-0267,David,Moore,2006-03-18,SCH-013,Millbrook High
10268,STU-0268,Sarah,Wilson,2010-01-04,SCH-012,Riverdale High
10269,STU-0269,Jennifer,Taylor,2006-02-05,SCH-005,Capital High
10270,STU-0270,James,Martin,2006-07-09,SCH-005,Capital High
10271,STU-0271,Robert,Miller,2006-05-06,SCH-014,Oakdale High
10272,STU-0272,Jessica,Taylor,2009-12-21,SCH-013,Millbrook High
10273,STU-0273,Linda,Lopez,2009-08-12,SCH-011,Lakeside High
10274,STU-0274,Thomas,Lopez,2008-07-04,SCH-010,Kingsport High
10275,STU-0275,David,Wilson,2007-04-20,SCH-017,Fernwood High
10276,STU-0276,David,Hernandez,2006-03-03,SCH-007,Ridgemont High
10277,STU-0277,Patricia,Jackson,2010-05-23,SCH-001,Springfield High
10278,STU-0278,Jessica,Williams,2007-10-24,SCH-006,Westport High
10279,STU-0279,John,Lopez,2005-10-08,SCH-005,Capital High
10280,STU-0280,Sarah,Brown,2011-05-09,SCH-006,Westport High
10281,STU-0281,Patricia,Martin,2006-06-09,SCH-020,Elmwood High
10282,STU-0282,Richard,Hernandez,2009-05-01,SCH-020,Elmwood High
10283,STU-0283,Mary,Gonzalez,2011-01-11,SCH-011,Lakeside High
10284,STU-0284,James,Brown,2007-08-01,SCH-011,Lakeside High
10285,STU-0285,Sarah,Martin,2006-11-05,SCH-008,Hillwood High
10286,STU-0286,Linda,Thomas,2008-12-16,SCH-017,Fernwood High
10287,STU-0287,Mary,Jones,2008-07-19,SCH-011,Lakeside High
10288,STU-0288,John,Davis,2011-01-08,SCH-001,Springfield High
10289,STU-0289,Barbara,Hernandez,2007-04-18,SCH-007,Ridgemont High
10290,STU-0290,David,Davis,2011-05-28,SCH-018,Sunnydale High
10291,STU-0291,Jessica,Thomas,2010-04-23,SCH-019,Crestwood High
10292,STU-0292,Linda,Lopez,2009-07-08,SCH-013,Millbrook High
10293,STU-0293,William,Williams,2006-09-05,SCH-002,Shelbyville High
10294,STU-0294,Karen,Johnson,2007-11-01,SCH-005,Capital High
10295,STU-0295,Thomas,Thomas,2009-04-02,SCH-004,NorthHaverbrook High
10296,STU-0296,Jennifer,Johnson,2008-09-28,SCH-020,Elmwood High
10297,STU-0297,Thomas,Miller,2009-10-28,SCH-001,Springfield High
10298,STU-0298,Michael,Martinez,2010-09-23,SCH-010,Kingsport High
10299,STU-0299,Sarah,Jackson,2006-04-26,SCH-002,Shelbyville High
10300,STU-0300,Richard,Williams,2006-09-13,SCH-020,Elmwood High
10301,STU-0301,Mary,Davis,2010-05-25,SCH-010,Kingsport High
10302,STU-0302,Thomas,Davis,2011-08-10,SCH-005,Capital High
10303,STU-0303,Robert,Davis,2007-10-05,SCH-006,Westport High
10304,STU-0304,Susan,Martinez,2011-09-18,SCH-016,Greendale High
10305,STU-0305,Barbara,Jones,2008-10-02,SCH-012,Riverdale High
10306,STU-0306,Barbara,Martinez,2009-05-15,SCH-013,Millbrook High
10307,STU-0307,Karen,Martinez,2010-11-26,SCH-014,Oakdale High
10308,STU-0308,Susan,Johnson,2011-11-07,SCH-010,Kingsport High
10309,STU-0309,Joseph,Brown,2009-02-27,SCH-020,Elmwood High
10310,STU-0310,Elizabeth,Jones,2010-11-10,SCH-008,Hillwood High
10311,STU-0311,John,Jones,2006-02-07,SCH-001,Springfield High
10312,STU-0312,Elizabeth,Anderson,2007-07-01,SCH-010,Kingsport High
10313,STU-0313,Charles,Gonzalez,2009-09-23,SCH-006,Westport High
10314,STU-0314,Charles,Jackson,2012-11-18,SCH-013,Millbrook High
10315,STU-0315,John,Johnson,2011-10-17,SCH-020,Elmwood High
10316,STU-0316,Sarah,Jackson,2012-03-25,SCH-002,Shelbyville High
10317,STU-0317,Charles,Smith,2010-03-09,SCH-012,Riverdale High
10318,STU-0318,Barbara,Brown,2008-12-15,SCH-007,Ridgemont High
10319,STU-0319,Jessica,Miller,2010-09-25,SCH-016,Greendale High
10320,STU-0320,Jennifer,Taylor,2010-06-28,SCH-004,NorthHaverbrook High
10321,STU-0321,Elizabeth,Lopez,2012-01-24,SCH-011,Lakeside High
10322,STU-0322,David,Brown,2005-11-06,SCH-008,Hillwood High
10323,STU-0323,Barbara,Jones,2011-12-25,SCH-008,Hillwood High
10324,STU-0324,Thomas,Martin,2008-08-27,SCH-012,Riverdale High
10325,STU-0325,Elizabeth,Anderson,2010-01-15,SCH-019,Crestwood High
10326,STU-0326,Michael,Brown,2010-06-05,SCH-014,Oakdale High
10327,STU-0327,Charles,Lopez,2011-12-12,SCH-001,Springfield High
10328,STU-0328,Richard,Lopez,2006-06-12,SCH-004,NorthHaverbrook High
10329,STU-0329,Charles,Jackson,2006-02-13,SCH-015,Brookfield High
10330,STU-0330,Jennifer,Anderson,2012-02-03,SCH-007,Ridgemont High
10331,STU-0331,Jessica,Johnson,2012-01-10,SCH-006,Westport High
10332,STU-0332,James,Gonzalez,2006-11-23,SCH-017,Fernwood High
10333,STU-0333,Joseph,Davis,2008-02-08,SCH-005,Capital High
10334,STU-0334,David,Jones,2005-07-15,SCH-013,Millbrook High
10335,STU-0335,Linda,Wilson,2005-05-23,SCH-017,Fernwood High
10336,STU-0336,Karen,Martinez,2011-01-27,SCH-018,Sunnydale High
10337,STU-0337,Jessica,Brown,2011-03-19,SCH-018,Sunnydale High
10338,STU-0338,Patricia,Martinez,2010-05-19,SCH-002,Shelbyville High
10339,STU-0339,Jessica,Martinez,2011-03-16,SCH-002,Shelbyville High
10340,STU-0340,Barbara,Wilson,2011-03-18,SCH-014,Oakdale High
10341,STU-0341,Patricia,Jackson,2011-06-02,SCH-018,Sunnydale High
10342,STU-0342,Karen,Anderson,2007-12-07,SCH-002,Shelbyville High
10343,STU-0343,Jessica,Thomas,2011-06-28,SCH-016,Greendale High
10344,STU-0344,Charles,Miller,2012-03-01,SCH-010,Kingsport High
10345,STU-0345,Karen,Brown,2010-11-02,SCH-018,Sunnydale High
10346,STU-0346,Jennifer,Jones,2007-09-26,SCH-012,Riverdale High
10347,STU-0347,Jennifer,Hernandez,2012-04-16,SCH-017,Fernwood High
10348,STU-0348,Barbara,Miller,2006-02-02,SCH-017,Fernwood High
10349,STU-0349,Patricia,Wilson,2008-06-14,SCH-004,NorthHaverbrook High
10350,STU-0350,Richard,Thomas,2012-10-17,SCH-008,Hillwood High
10351,STU-0351,James,Taylor,2009-01-02,SCH-020,Elmwood High
10352,STU-0352,Robert,Garcia,2009-07-02,SCH-018,Sunnydale High
10353,STU-0353,Jennifer,Jones,2012-01-05,SCH-016,Greendale High
10354,STU-0354,Barbara,Wilson,2007-01-01,SCH-020,Elmwood High
10355,STU-0355,John,Davis,2008-07-15,SCH-015,Brookfield High
10356,STU-0356,Thomas,Anderson,2008-04-18,SCH-020,Elmwood High
10357,STU-0357,James,Lopez,2012-11-19,SCH-018,Sunnydale High
10358,STU-0358,Sarah,Brown,2007-08-18,SCH-020,Elmwood High
10359,STU-0359,Sarah,Jackson,2006-08-20,SCH-003,Ogdenville High
10360,STU-0360,Robert,Brown,2007-08-06,SCH-012,Riverdale High
10361,STU-0361,Elizabeth,Jackson,2012-12-19,SCH-008,Hillwood High
10362,STU-0362,Sarah,Moore,2008-08-01,SCH-004,NorthHaverbrook High
10363,STU-0363,William,Rodriguez,2007-04-14,SCH-016,Greendale High
10364,STU-0364,Richard,Miller,2008-03-18,SCH-008,Hillwood High
10365,STU-0365,Mary,Brown,2006-07-24,SCH-013,Millbrook High
10366,STU-0366,Barbara,Johnson,2006-05-19,SCH-007,Ridgemont High
